thread_link,thread_title,is_main_post,user,time,text
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2712983-A_slight_change_to_the_title-Traveling_With_Disabilities.html,A slight change to the title?,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,True,susan s,17 years ago,"http://www.ada.gov/





If your destination has a similar resource, please include it here. :)"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,susan s,17 years ago,"These legislated acts greatly affect access for handicapped persons in the U.S. while traveling.



Has Canada got their Disability Act together? European countries? Asian countries? 



I know the U.S. isn't the only country to be implementing this type of legislation; can you add your relevant links?"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,LesRose,17 years ago,This is one that I like - http://www.invisibledisabilities.org/
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,LesRose,17 years ago,"I failed to mention that it is also available in the following languages: Spanish, Portuguese, French, German, Italian."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,susan s,17 years ago,"I love that link! 



Do you have also have links to legislated acts/acts protected by the Law to protect and provide services to the disabled in various countries? I'd like to post those links here as well."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,Vacation-Loca,17 years ago,"LesRose,

Thanks for that site. ""But you LOOK good!"" is a must to share with family and friends if you have a chronic illness or any invisible disease."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2722371-Link_for_Americans_With_Disabilities_Act_Please_add_yours-Traveling_With_Disabilities.html,Link for Americans With Disabilities Act: Please add yours!,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2732960-Look_where_this_forum_was_placed_Thanks_TASara-Traveling_With_Disabilities.html,"Look where this forum was placed! Thanks, TASara!",True,susan s,17 years ago,I love that this happened so easily and quickly! Thanks thanks thanks! So much more visible now. Perfect.
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2732960-Look_where_this_forum_was_placed_Thanks_TASara-Traveling_With_Disabilities.html,"Look where this forum was placed! Thanks, TASara!",False,Country_Wife,17 years ago,"I just spotted this too! And it seems to be working! 

*happy dance*"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2732960-Look_where_this_forum_was_placed_Thanks_TASara-Traveling_With_Disabilities.html,"Look where this forum was placed! Thanks, TASara!",False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2740341-Disabled_visitor_to_Paris_quick_free_admission_to_Museums-Traveling_With_Disabilities.html,"Disabled visitor to Paris, quick / free admission to Museums",True,ParisInSeptember,17 years ago,"Hello to all :)

I am planning a 5 days trip to Paris, next September.



I am a disabled visitor.

Suffering from a chronic cardiac disease, i don't use a wheelchair, i walk perfectly in low tempo, so i will be able to walk around, still have limited mobility regarding times i can stand.



I have been in Paris again a few years go, so i know what to expect regarding metro accesibility for example.



Many museums in Paris, Centre Pompidou for example, accept disabled visitors on free admission.



a. Does free admission apply for disabled visitors originating from other European Union countries?



b. Here in Greece, disabled residents get a ""culture card"" that is a valid certificate to grant quick and free entrance to public ancient sites and museums. Since i don't use a wheelchair, what kind of documentation should i carry along as a valid certificate to get the benefit of a quick and free admission?



I also have posted a thread in Paris forum, still i thought of posting here too, in order to get more answers.



Thank you very much for your time :)"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2740341-Disabled_visitor_to_Paris_quick_free_admission_to_Museums-Traveling_With_Disabilities.html,"Disabled visitor to Paris, quick / free admission to Museums",False,metromole,17 years ago,"Some good friends, a couple in their 60s from the east coast of the US recently visited Paris. She had polio as a child and walks with a brace. They bought a package that included museum passes. When they went to use them, the personnel at every museum waved them through and never asked to see a pass or ticket.

Don't know if that helps."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2740341-Disabled_visitor_to_Paris_quick_free_admission_to_Museums-Traveling_With_Disabilities.html,"Disabled visitor to Paris, quick / free admission to Museums",False,ParisInSeptember,17 years ago,"Thank you very much for the post :)

I appreciate time you devoted on it :))"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2740341-Disabled_visitor_to_Paris_quick_free_admission_to_Museums-Traveling_With_Disabilities.html,"Disabled visitor to Paris, quick / free admission to Museums",False,LesRose,17 years ago,"ParisInSeptember - Happy to see that you are getting responses now on the Paris forum, wish I could have been more helpful.

The following link is quite helpful and available in several languages. Invisible Disability Advocates is a non-profit that was born from the need of offering enformation, tips, understanding. 





http://www.invisibledisabilities.org/"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2740341-Disabled_visitor_to_Paris_quick_free_admission_to_Museums-Traveling_With_Disabilities.html,"Disabled visitor to Paris, quick / free admission to Museums",False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,True,susan s,17 years ago,"Hi there: Can you tell me if the public transportation in Paris (metro, bus and what else?) are easily accessed by those in wheelchairs or by those with limited mobility (bad knees, weakness, etc.) Are there a lot of stairs to access the Metro stations? Any information you have will be helpful."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,False,susan s,17 years ago,"I found this link on the Paris forum by doing a search on TA. Helpful, but it's no longer really up to date and there wasn't information about the metro. 



http://www.access-able.com/tales/Paris-access-2003.html"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,False,RescueTeam 🇨🇦,17 years ago,"Hi;



I would suggest posting your question in the Paris forum as well.

http://www.tripadvisor.com/ShowForum-g187147-i14-Paris_Ile_de_France.html



Best Regards"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,False,metromole,17 years ago,"fussyguest, if it isn't too late to answer your question, the answer is ""somewhat"".

The regional commuter line, the ""RER-B"" that connects the airports to central Paris have both escalators and Elevators at the ""Gare du Nord"", ""Chatelet"", and ""Port-Royal"" stations. All the other Paris stops on that line have escalators at a minimum.

The new ""Meteor"" line-14 of the Paris Métro has both escalators and elevators at every station and it connects 5 train stations to the central métro and RER-B line at Chatelet. After that, it's hit or miss.

I'd recommend the bus system which is perfectly equipped for wheel chairs but the bus drivers and Paris traffic can make for a pretty herky-jerky ride and may be a problem for people with bad knees, weakness, etc..

If you are coming to Paris and have an itinerary in progress, I'd be happy to help with info on specific stations."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,False,susan s,17 years ago,"Hi there: Thanks for your kind offer of assistance. I was trying to get information for the many people traveling to Paris and its environs who have had some difficulty accessing this great city. Here's a recent thread started on this forum by a poster who may need some extra help in this regard:



http://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html





Again: Thanks!"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2564598-Access_to_public_transportation_in_Paris-Traveling_With_Disabilities.html,Access to public transportation in Paris,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2758913-A_plan_or_schedule_4_injection_points_on_the_human_body-Traveling_With_Disabilities.html,A plan or schedule 4 injection points on the human body?,True,Triprajul,17 years ago,"Greetings:

 My wife is a diabetic and I give her the injections. So far, I have given them to her on upper arms (no complaint from her) and once to her abdomen (but she didn’t like this area at all). I know that the injections should be given randomly on certain body areas and I know that injections should never be given too much in the same area but I want a plan on how to do this correctly. Never wanting to re-invent the wheel so does anyone have a well-worked out schedule of giving insulin injections so that one area is not preferred over the other. One created by you or one off the internet is no problem. Any information given is greatly appreciated."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2758913-A_plan_or_schedule_4_injection_points_on_the_human_body-Traveling_With_Disabilities.html,A plan or schedule 4 injection points on the human body?,False,RescueTeam 🇨🇦,17 years ago,"Hi;



Respectfully, you should be addressing your concerns to your wife's doctor at home PRIOR to travelling. He/she knows more about your wife's needs and condition better than anyone or any website !



Best Regards"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2758913-A_plan_or_schedule_4_injection_points_on_the_human_body-Traveling_With_Disabilities.html,A plan or schedule 4 injection points on the human body?,False,susan s,17 years ago,"RescueTeam is absolutely correct. This question (although very important) is not travel related. 



Please follow the good advice you've received and contact a physician so you can get the information that would be most helpful to you and your situation. Cheers, F.g."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,True,tiggsLondon,17 years ago,Just booked with Rail Europe for journey St Pancras Eurostar via Paris to Narbonne in France. I have to use crutches to walk and have limited mobility. Rail Europe refusing to make any disability assistance arrangements for the journey even though they have happily taken £200+ of my money. Eurostar saying they can do nothing until the day of travel and then only for their part of the journey. Has anyone else had experience of making advance arrangements (essential for me) on an equivalent journey using these providers. I have friends meeting me in Narbonne so no problem there. Any tips/previous experience of successful arrangements appreciated.
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,RescueTeam 🇨🇦,17 years ago,"Hi tiggsLondon;



I would suggest posting your question on the Train Travel forum as well.

http://www.tripadvisor.com/ShowForum-g1-i12483-Train_Travel.html



Best Regards"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,tiggsLondon,17 years ago,Thanks for suggestion. Have followed that up and will see what response I get from either forum.
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,RescueTeam 🇨🇦,17 years ago,You're Welcome !
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,Busy-retired,17 years ago,"Hi tiggsLondon, Sorry to learn of your difficulties. If you are able to get any answers would you please return to this forum and post them? Also, if you could post a trip report here about your experiences that would also be great."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,tiggsLondon,17 years ago,"Yes will try and do this. Apparently there is no other way for me to get advanced disabled assistance set up other than to turn up on the day and Eurostar will book the onward assistance for the journey. However, do not see how this will work for the return leg as SNCF have responsibility for the start of that day's journey! Have already discovered that one of the seats allocated to me on the French leg is an upper deck seat which Rail Europe are meant to be changing. If we are part of Europe we should have best practice of disabled assistance offered regardless of which of the countries we book in: in UK the starting point train operator takes responsibility for booking seat reservations and assistance for the whole of the journey as soon as booking made and no later than 24 hours before travel. Disability unfortunately means no spontaneous travel and this whole experience is not doing much for my blood pressure!"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2756152-Disabled_assistance_booking_tips_London_via_Paris_Narbonne-Traveling_With_Disabilities.html,Disabled assistance booking tips London via Paris/Narbonne,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,True,harriet s,17 years ago,"Imagine a cruise on the Queen Mary 2 with all of its enrichment programs and excellent dining, and you'll be able to picture what I'm looking for. Dad is 90; his intellect is perfect, but his ability to walk and stand is limited. I travel with him and would like to find a resort, special event, etc. based in the US. 



Please think fast because he's bored with staying at home! Many thanks."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,Vancouverite67,17 years ago,"The only thing that comes to mind is an educational cruise. These are more expensive, tend to be on small boats, but they have experts on board and they are usually doing research at the same time. I had friends who did one, and the wife was physically disabled, and they just loved it."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,"Many thanks for the idea. If you have details regarding your friends' trip, especially the name of the cruise line, I would sure appreciate it. Regardless, you've given me a path to pursue on behalf of my super-special dad."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,Country_Wife,17 years ago,"Could it have been through Elderhostel? I just had a glance at their website, and their minimum requirement (for some programs, not all!) is ""Participants must be able to handle their own luggage, climb a few stairs and get from sleeping accommodations to classrooms and dining rooms."" I suspect the luggage could be a problem; if not, have a look at their website:



http://www.elderhostel.org"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,Thank you so much. Your insight is super.
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,AskOksana,17 years ago,"New Zealand is the most handicapped accessible nation in the world, they put the US to shame. I know, I'm handicapped.



I took my mother there on a 2 week tour when my mom was 84.

There are wheelchair accessible bathrooms in tiny petrol stations on the southern Island.



There are non-stop flights to NZ from L.A.



I would look into a cruise on a MEDIUM-sized cruise ship like Celebrity or Seabourn, avoid the mondo ships like Norweigan or Carnival. You want a ship of about 450.



The reason I don't recommend the small lines is I'm not certain that all of them are handicapped accessible.



I think a medium sized ship w/ educated/expert lecturers would be terrific stimulation for your dad. Think about a cruise in Asia, southern Europe, the South Pacific (direct flights to Papeete Tahiti are only 8 hours nonstop), avoid Caribbean or Mexico... to avoid a lot of partyers or families.



Look into the Galapagos or if you can afford it Antarctica... National Geographic cruises go through Seaborn or one of the other upscale lines.



BTW, he won't be the only 90 y o on board."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,AskOksana,17 years ago,"I forgot, don't call cruise lines directly, go through a travel agent that specializes in cruises like: justcruises.com or thecruisespecialist.com they not only get the best deals, but they know the ships & can really advise you on the most accessible ships & cabins"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,"Totally awesome ideas. Thank you so much for sharing your insights with me. 



Wishing you good travels ahead."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,Vacation-Loca,17 years ago,"I'm not sure how far you are from Baltimore but there are some cruises the port there. Then you won't have to worry about flying to get to the ship. We found a great deal on Royal Caribbean about 2 years ago. I have trouble walking long distances and it was great not to have to deal with the airports. If you do fly, make sure you ask for wheelchair assistance. They will help you with your dad so you can handle the luggage."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,"Yes, I discovered the port of Baltimore for cruising. And did you know there's a website you can go to that identifies all cruise trips originating just from Baltimore? Some are day trips on small American Cruise Line vessels, and others are the big, multi-day cruises. Look here:

 http://www.baltimorecruiseguide.com/

 

 There's even a calendar system on the top right of the page where you can see who goes where, every day of the coming months.

 

 BUT I'D REALLY LIKE TO FIND OUT ABOUT PLACES OR EVENTS IN THE U.S. WHERE I CAN GO WITH MY FATHER FOR A WEEK OR SO. I'M LOOKING FOR SOMETHING PACKED WITH ENRICHMENT, EDUCATION, MUSIC. AN EARLIER POSTER PUT ME ON TO THE CHITAUQUA IN NY. THAT'S SUMMER ONLY. WHAT ABOUT THE REST OF THE YEAR?"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,LesRose,17 years ago,How about Hawaii?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,"Imagine a cruise on the Queen Mary 2 with all of its enrichment programs and excellent dining, and you'll be able to picture what I'm looking for. Dad is 90; his intellect is perfect, but his ability to walk and stand is limited. I travel with him and would like to find a resort, special event, etc. based in the US. 



Please think fast because he's bored with staying at home! Many thanks."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,harriet s,17 years ago,"Somewhere, there are people following these posts who are shouting ""Yesss!"" Thanks so much for helping me and other children of aging parents help our great moms and dads have enjoyment and enrichment when the mind is willing but the body isn't.



I (and others) look forward to more US-based ideas for music/arts/theater events or places, which demand little walking."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,LesRose,17 years ago,"dadsgirl89 - YES - 

Another reason I suggest Hawaii. A place where age is respected. A place where the body is merely a shell for the soul.

I thank you on behalf of all us aging parents! You are blessed and so is your father."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,susan s,17 years ago,"I think the Idea of a cruise may be better than its actuality. Walking through hallways or on decks while sailing can be difficult because of the ship's movement. This was an issue for some of the seniors in our group when they took a River cruise! (I was surprised too..but the rocking affected their stability while walking). This can be an issue on trains, as well. 



You might contact the AAA organization in your area; they often have trips planned specifically for seniors. Is he interested in a bus tour at all?"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,LesRose,17 years ago,"dadsgirl89 - Have had a recent conversation with an acquaintance regarding some of theses ideas. 

There are a couple of places where you and your father can go and have an immersion of Hawaiian culture - if that interests you. There are cruises that take you around the islands and stop at the ports for a day, rent a car and see the sights, then return to the ship. NCL is very popular. - there are a few resorts where the culture is perpetuated and music in the Islands is intrinsic. Kona Village Resort on The Island of Hawaii, wheelchair accessibility and can provide a chair that will even navigate the sand. An acquaintance has been going there for many many years, he is well into his 80's. Another resort on that island that would be nice is Mauna Lani, a personal favorite. I believe that any of the Hawaiian Islands would offer all areas that you suggest - culture, music, history, as well as some incredible beauty. 

I readily admit to being partial to Hawaii - Maui makes an excellent first Island - however Oahu is also a great idea.

Summer is family travel time, but a houlder season such as September through early December is a slower travel season. At Christmas it is Peak seaseon, However - there are Whales to watch from Oct - April and that can be done a multitude of ways."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2513375-Suggestion_for_destination-Traveling_With_Disabilities.html,Suggestion for destination?,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774878-Sorry-Traveling_With_Disabilities.html,sorry,True,RITA1963,17 years ago,"I do apologise, for putting my e-mail address on here, I did not realise that people could contact you through trip advisor and that you had to include you e-mail address, I will certainly know for future reference and will re-post again without my e-mail address."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774878-Sorry-Traveling_With_Disabilities.html,sorry,False,LesRose,17 years ago,"No need to apologize, just don't want you to get contacts that you don't want. We are here to help and happy to see you on TripAdvisor."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774878-Sorry-Traveling_With_Disabilities.html,sorry,False,RITA1963,17 years ago,thank you
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774878-Sorry-Traveling_With_Disabilities.html,sorry,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774886-Where_to_go_with_a_3_year_old_autistic_son-Traveling_With_Disabilities.html,where to go with a 3 year old autistic son,True,RITA1963,17 years ago,"my husband and I have a 3 year old autistic son and would like to take him abroad for his first time, can anyone recommend a place not to far and little travel time as possiable to go to, where he would be happy and so would we. I also have a back problem so would like a stress free holiday, please let me know."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774886-Where_to_go_with_a_3_year_old_autistic_son-Traveling_With_Disabilities.html,where to go with a 3 year old autistic son,False,LesRose,17 years ago,"Hello Rita, Welcome to TripAdvisor!

Going by the ""not too far"" and ""little travel time"" it's going to end up as one that will most likely mean we refer you to a particular destination forum for some guidance - but that doesn't mean we can't help you with some of it. 

Are you in search of sun and fun? High end hotels or Simple accomodations? How far is too far? France? Greece? Spain? A cottage in the Irish countryside? Very broad area to zone in on thus far. I have never been across 'the pond' - but I can certainly dig around for ideas. 

Stress free holiday sounds like a wonderful idea. 

Also, when do you hope to travel?"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774886-Where_to_go_with_a_3_year_old_autistic_son-Traveling_With_Disabilities.html,where to go with a 3 year old autistic son,False,LesRose,17 years ago,"Rita - I hope the following links will be of assistance - and might get us on the same page as far as reference points. 

http://www.artsline.org.uk/ Quite a bit of options within this website as far as checking off your personal preferences and requirements.

http://www.disabledaccessholidays.com/ for Europe

The next link is from TA and has some good responses from fellow travelers. I know it's very close to you, but may have ideas - since you don't want to go too far.

http://www.tripadvisor.com/ShowTopic-g186338-i17-k735017-Accessible_London_for_those_with_mobility_problems-London_England.html 

http://www.globalaccessnews.com/accessible_travel_resources%2009.htm

The next link has a wealth of information and ideas.

http://www.disabledtravelers.com/index.htm

Hope this is at least a start for you."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774886-Where_to_go_with_a_3_year_old_autistic_son-Traveling_With_Disabilities.html,where to go with a 3 year old autistic son,False,LesRose,17 years ago,"Rita1963 - I have found another link that may be helpful for you - http://www.disaboom.com/

and a more specific link via that website is http://www.disaboom.com/Living/lifestyle/travel/Articles.aspx with a multitude of information/options."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2774886-Where_to_go_with_a_3_year_old_autistic_son-Traveling_With_Disabilities.html,where to go with a 3 year old autistic son,False,susan s,17 years ago,"Hi there. I've sent you a private message; you'll see a little envelope under your name ""Welcome Rita1963"" in the upper right hand corner of this screen...just click on that envelope to access your messages. S."
